Question                                          ,   Category
What is your favorite food?                           , Personal: Personal preferences
What is your favorite color?                          , Personal: Personal preferences
What is your favorite holiday destination?            , Personal: Personal preferences
What is your favorite movie genre?                    , Personal: Personal preferences
What is your favorite animal?                         , Personal: Personal preferences
What is your favorite season?                         , Personal: Personal preferences
What is your favorite music genre?                    , Personal: Personal preferences
What is your favorite sports team?                    , Personal: Personal preferences
What is your favorite book genre?                     , Personal: Personal preferences
What is your favorite type of cuisine?                , Personal: Personal preferences
What is your favorite social media platform?          , Personal: Personal preferences
What is your favorite hobby?                          , Personal: Personal preferences
What is your favorite TV show?                        , Personal: Personal preferences
What is your favorite type of art?                    , Personal: Personal preferences
What is your favorite form of exercise?               , Personal: Personal preferences
What is your favorite type of weather?                , Personal: Personal preferences
What is your favorite type of vehicle?                , Personal: Personal preferences
What is your favorite type of dessert?                , Personal: Personal preferences
What is your favorite type of movie?                  , Personal: Personal preferences
What is your favorite type of clothing?               , Personal: Personal preferences
What is your favorite type of technology?             , Personal: Personal preferences
What is your favorite type of dance?                  , Personal: Personal preferences
What is your favorite type of drink?                  , Personal: Personal preferences
What is your favorite type of plant?                  , Personal: Personal preferences
What is your favorite type of exercise?               , Personal: Personal preferences
What is your favorite type of cuisine?                , Personal: Personal preferences
What is your favorite type of holiday?                , Personal: Personal preferences
What is your favorite type of music?                  , Personal: Personal preferences
What is your favorite type of book?                   , Personal: Personal preferences
What is your favorite type of game?                   , Personal: Personal preferences
What is your favorite type of outdoor activity?       , Personal: Personal preferences
What is your favorite type of indoor activity?        , Personal: Personal preferences
What is your favorite type of transportation?         , Personal: Personal preferences
What is your favorite type of weather?                , Personal: Personal preferences
What is your favorite type of music instrument?       , Personal: Personal preferences
What is your favorite type of vacation?               , Personal: Personal preferences
What is your favorite type of art medium?             , Personal: Personal preferences
What is your favorite type of cuisine?                , Personal: Personal preferences
What is your favorite type of sport?                  , Personal: Personal preferences
What is your favorite type of movie?                  , Personal: Personal preferences
What is your favorite type of book genre?             , Personal: Personal preferences
What is your favorite type of outdoor activity?       , Personal: Personal preferences
What is your favorite type of indoor activity?        , Personal: Personal preferences
What is your favorite type of clothing style?         , Personal: Personal preferences
What is your favorite type of technology device?      , Personal: Personal preferences
What is your favorite type of dance?                  , Personal: Personal preferences
What is your favorite type of dessert?                , Personal: Personal preferences
What is your favorite type of drink?                  , Personal: Personal preferences
What is your favorite type of plant?                  , Personal: Personal preferences
What is your favorite type of exercise?               , Personal: Personal preferences
What is your favorite type of cuisine?                , Personal: Personal preferences
What is your favorite type of holiday?                , Personal: Personal preferences
What is your favorite type of music?                  , Personal: Personal preferences
What is your favorite type of book?                   , Personal: Personal preferences
What is your favorite type of game?                   , Personal: Personal preferences
What is your favorite type of movie genre?            , Personal: Personal preferences
What is your favorite type of transportation?         , Personal: Personal preferences
What is your favorite type of weather?                , Personal: Personal preferences
Who is your favorite author?                          , Non-Personal: Opinion-based
What is your opinion on social media?                 , Non-Personal: Opinion-based
What is your preferred mode of transportation?        , Non-Personal: Opinion-based
What is your view on climate change?                  , Non-Personal: Opinion-based
What is your favorite sports event?                   , Non-Personal: Opinion-based
Who is your favorite actor/actress?                   , Non-Personal: Opinion-based
What is your favorite genre of literature?            , Non-Personal: Opinion-based
Who is your favorite musician/band?                   , Non-Personal: Opinion-based
What is your favorite form of exercise?               , Non-Personal: Opinion-based
What is your preferred method of relaxation?          , Non-Personal: Opinion-based
What is your view on current political issues?        , Non-Personal: Opinion-based
What is your favorite holiday tradition?              , Non-Personal: Opinion-based
What is your opinion on artificial intelligence?      , Non-Personal: Opinion-based
What is the capital of France?                        , Non-Personal: General knowledge
Who painted the Mona Lisa?                            , Non-Personal: General knowledge
What is the chemical symbol for gold?                 , Non-Personal: General knowledge
What is the square root of 25?                        , Non-Personal: General knowledge
Who is the current President of the United States?    , Non-Personal: General knowledge
What is the tallest mountain in the world?            , Non-Personal: General knowledge
What is the currency of Japan?                        , Non-Personal: General knowledge
What is the largest planet in our solar system?       , Non-Personal: General knowledge
What is the formula for calculating the area of a circle? , Non-Personal: General knowledge
What is the national animal of Australia?             , Non-Personal: General knowledge
Who directed the movie "The Shawshank Redemption"?    , Non-Personal: General knowledge
What is the chemical formula for water?               , Non-Personal: General knowledge
What is the boiling point of water in Celsius?        , Non-Personal: General knowledge
Who is the author of "Harry Potter and the Philosopher's Stone"?,  Non-Personal: General knowledge
What is the largest ocean in the world?               , Non-Personal: General knowledge
Who discovered the theory of relativity?              , Non-Personal: General knowledge
What is the formula for calculating the area of a triangle? , Non-Personal: General knowledge
What is the capital of Brazil?                        , Non-Personal: General knowledge
Who painted the famous artwork "The Starry Night"?    , Non-Personal: General knowledge
What is the chemical symbol for oxygen?               , Non-Personal: General knowledge
What is the square root of 144?                       , Non-Personal: General knowledge
Who is the current Prime Minister of Canada?          , Non-Personal: General knowledge
What is the deepest ocean trench?                     , Non-Personal: General knowledge
What is the currency of Mexico?                       , Non-Personal: General knowledge
What is the largest moon in our solar system?         , Non-Personal: General knowledge
Who wrote the play "Romeo and Juliet"?                , Non-Personal: General knowledge
What is the chemical formula for table salt?          , Non-Personal: General knowledge
What is the freezing point of water in Fahrenheit?    , Non-Personal: General knowledge
Who is the author of "Pride and Prejudice"?           , Non-Personal: General knowledge
What is the smallest continent on Earth?              , Non-Personal: General knowledge
Who discovered the law of gravity?                    , Non-Personal: General knowledge
What is the formula for converting Celsius to Fahrenheit? , Non-Personal: General knowledge
